Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..itlets.py:596 List._cross_validate  2      0.000000  0.000000  0.000000
..raitlets\traitlets.py:558 List.set  2      0.000000  0.000000  0.000000
..lets\traitlets.py:545 List.__get__  2      0.000000  0.000000  0.000000
..ts\traitlets.py:587 List._validate  2      0.000000  0.000000  0.000000
..tils\bunch.py:11 Bunch.__getattr__  2      0.000000  0.000000  0.000000
..ets.py:2246 List.validate_elements  4      0.000000  0.000000  0.000000
..ts\traitlets.py:2323 List.validate  2      0.000000  0.000000  0.000000
..toryManager._writeout_output_cache  1      0.000000  0.000000  0.000000
..reading.py:239 Condition.__enter__  1      0.000000  0.000000  0.000000
..:1142 HistoryManager.notify_change  1      0.000000  0.000000  0.000000
..reading.py:254 Condition._is_owned  1      0.000000  0.000000  0.000000
..a3\lib\threading.py:533 Event.wait  1      0.000000  0.000000  0.000000
..ts\traitlets.py:2235 List.validate  2      0.000000  0.000000  0.000000
..ing.py:248 Condition._release_save  1      0.000000  0.000000  0.000000
..ib\threading.py:263 Condition.wait  1      0.000000  0.000000  0.000000
..:1133 HistoryManager._notify_trait  1      0.000000  0.000000  0.000000
..lets\traitlets.py:576 List.__set__  2      0.000000  0.000000  0.000000
..raitlets\traitlets.py:526 List.get  2      0.000000  0.000000  0.000000
..ets.py:2316 List.validate_elements  4      0.000000  0.000000  0.000000
..ntext.py:128 Context._socket_class  1      0.000000  0.000000  0.000000
..tream.py:382 OutStream._new_buffer  54     0.000000  0.000000  0.000000
..\lib\_weakrefset.py:81 WeakSet.add  1      0.000000  0.000000  0.000000
..3\lib\abc.py:194 __subclasscheck__  1      0.000000  0.000000  0.000000
..pyter_client\session.py:121 new_id  54     0.000000  0.000000  0.000000
..set.py:26 _IterationGuard.__exit__  1      0.000000  0.000000  0.000000
..aitlets.py:596 Int._cross_validate  54     0.000000  0.000000  0.000000
..do\ioloop.py:960 _Timeout.__init__  55     0.000000  0.000000  0.000000
..krefset.py:70 WeakSet.__contains__  58     0.000000  0.000000  0.000000
..er_client\session.py:132 <genexpr>  162    0.000000  0.000000  0.000000
..da3\lib\hmac.py:127 HMAC.hexdigest  54     0.000000  0.000000  0.000000
..traitlets\traitlets.py:558 Int.set  54     0.000000  0.000000  0.000000
..attrsettr.py:12 Socket.__setattr__  2      0.000000  0.000000  0.000000
..client\session.py:565 Session.sign  54     0.000000  0.000000  0.000000
..s\traitlets.py:545 Unicode.__get__  756    0.000000  0.000000  0.000000
..et.py:20 _IterationGuard.__enter__  1      0.000000  0.000000  0.000000
..qstream.py:396 ZMQStream.receiving  1905   0.000000  0.000000  0.000000
..ets\traitlets.py:587 Int._validate  54     0.000000  0.000000  0.000000
..ient\session.py:491 Session.msg_id  54     0.000000  0.000000  0.000000
.._client\session.py:546 Session.msg  54     0.000000  0.000000  0.000000
..r_client\session.py:714 <listcomp>  54     0.000000  0.000000  0.000000
..3\lib\abc.py:178 __instancecheck__  55     0.000000  0.000000  0.000000
..ocket.py:326 Socket.send_multipart  54     0.000000  0.000000  0.000000
..nda3\lib\hmac.py:108 HMAC._current  54     0.000000  0.000000  0.000000
..ontext.py:225 NullContext.__exit__  1905   0.000000  0.000000  0.000000
..traitlets.py:1832 _validate_bounds  54     0.000000  0.000000  0.000000
..trsettr.py:31 Socket._set_attr_opt  1      0.000000  0.000000  0.000000
..set.py:16 _IterationGuard.__init__  1      0.000000  0.000000  0.000000
...py:149 IOPubThread._check_mp_mode  54     0.000000  0.000000  0.000000
..ostream.py:307 _schedule_in_thread  55     0.000000  0.000000  0.000000
..ient\jsonutil.py:34 _ensure_tzinfo  108    0.000000  0.000000  0.000000
.._weakrefset.py:58 WeakSet.__iter__  2      0.000000  0.000000  0.000000
..ncodings\cp1252.py:11 Codec.encode  54     0.000000  0.000000  0.000000
..r_client\session.py:236 msg_header  54     0.000000  0.000000  0.000000
..\tornado\stack_context.py:255 wrap  55     0.000000  0.000000  0.000000
..aconda3\lib\hmac.py:90 HMAC.update  216    0.000000  0.000000  0.000000
..conda3\lib\queue.py:90 Queue.empty  1905   0.000000  0.000000  0.000000
..Anaconda3\lib\hmac.py:95 HMAC.copy  54     0.000000  0.000000  0.000000
..zmqstream.py:400 ZMQStream.sending  1905   0.000000  0.000000  0.000000
..146 IOPubThread._is_master_process  54     0.000000  0.000000  0.000000
..ipykernel\iostream.py:199 <lambda>  54     0.000000  0.000000  0.000000
..pyter_client\session.py:169 utcnow  54     0.000000  0.000000  0.000000
..on_genutils\py3compat.py:19 encode  54     0.000000  0.000000  0.000000
..ioloop.py:509 ZMQIOLoop.call_later  55     0.000000  0.000000  0.000000
..r\socket.py:138 Socket.__setattr__  2      0.000000  0.000000  0.000000
..nda3\lib\queue.py:202 Queue._qsize  1905   0.000000  0.000000  0.000000
..do\ioloop.py:916 ZMQIOLoop.call_at  55     0.000000  0.000000  0.000000
..sugar\socket.py:61 Socket.__init__  1      0.000000  0.000000  0.000000
..\session.py:543 Session.msg_header  54     0.000000  0.000000  0.000000
..ets\traitlets.py:1868 Int.validate  54     0.000000  0.000000  0.000000
..ugar\context.py:132 Context.socket  1      0.000000  0.000000  0.000000
..ient\session.py:242 extract_header  54     0.000000  0.000000  0.000000
..tlets\traitlets.py:576 Int.__set__  54     0.000000  0.000000  0.000000
..ncoder.py:104 JSONEncoder.__init__  216    0.000000  0.000000  0.000000
..tlets\traitlets.py:526 Unicode.get  756    0.000000  0.000000  0.000000
..ntext.py:221 NullContext.__enter__  1905   0.000000  0.000000  0.000000
..set.py:52 WeakSet._commit_removals  1      0.000000  0.000000  0.000000
..am.py:201 IOPubThread._really_send  54     0.000000  0.000000  0.000000
..eam.py:369 OutStream._flush_buffer  54     0.000000  0.000000  0.000000

name           id     tid              ttot      scnt        
..avingThread  2      4268             103.2656  1         
Thread         1      2836             103.2344  228       
_MainThread    0      8336             101.8750  230       
